id,lotfrontage,lotarea,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,garagearea,wooddecksf,openporchsf,enclosedporch,threeseasonporch,screenporch,poolarea,miscval,saleprice,mszoning_encoded,street_encoded,alley_encoded,lotshape_encoded,landcontour_encoded,utilities_encoded,lotconfig_encoded,landslope_encoded,neighborhood_encoded,condition1_encoded,condition2_encoded,bldgtype_encoded,housestyle_encoded,roofstyle_encoded,roofmatl_encoded,exterior1st_encoded,exterior2nd_encoded,masvnrtype_encoded,exterqual_encoded,extercond_encoded,foundation_encoded,bsmtqual_encoded,bsmtcond_encoded,bsmtexposure_encoded,bsmtfintype1_encoded,bsmtfintype2_encoded,heating_encoded,heatingqc_encoded,centralair_encoded,electrical_encoded,kitchenqual_encoded,functional_encoded,fireplacequ_encoded,garagetype_encoded,garageyrblt_encoded,garagefinish_encoded,garagequal_encoded,garagecond_encoded,paveddrive_encoded,poolqc_encoded,fence_encoded,miscfeature_encoded,saletype_encoded,salecondition_encoded,mssubclass_encoded,overallqual_encoded,overallcond_encoded,bsmtfullbath_encoded,bsmthalfbath_encoded,fullbath_encoded,halfbath_encoded,bedroomabvgr_encoded,kitchenabvgr_encoded,totrmsabvgrd_encoded,fireplaces_encoded,garagecars_encoded,mosold_encoded,yrsold_encoded
15,67,10920,1960,1960,212,733,0,520,1253,1253,0,0,1253,352,0,213,176,0,0,0,0,157000.0,4,1,1,0,3,0,0,0,12,2,2,0,2,3,0,8,8,1,3,4,1,4,4,3,1,6,1,4,1,4,4,7,1,1,51,2,5,5,2,3,1,1,9,4,0,5,4,1,0,1,1,2,1,3,1,1,4,2
16,51,6120,1929,2001,0,0,0,832,832,854,0,0,854,576,48,112,0,0,0,0,0,132000.0,5,1,1,3,3,0,0,0,3,2,2,0,1,1,0,13,15,2,3,4,0,4,4,3,6,6,1,0,1,0,4,7,3,5,82,3,5,5,2,3,0,1,9,4,3,6,7,0,0,1,0,2,1,3,0,2,6,1
17,81,11241,1970,1970,180,578,0,426,1004,1004,0,0,1004,480,0,0,0,0,0,0,700,149000.0,4,1,1,0,3,0,1,0,12,2,2,0,2,1,0,13,15,1,3,4,1,4,4,3,0,6,1,0,1,4,4,7,5,1,61,0,5,5,2,3,4,3,9,4,0,5,6,1,0,1,0,2,1,3,1,2,2,4
18,72,10791,1967,1967,0,0,0,0,0,1296,0,0,1296,516,0,0,0,0,0,0,500,90000.0,4,1,1,3,3,0,4,0,19,2,2,2,2,1,0,8,8,2,3,4,3,3,2,4,4,4,1,4,1,4,4,7,3,4,58,3,5,5,2,3,4,3,9,4,10,3,4,0,0,2,0,2,2,4,0,2,9,0
19,66,13695,2004,2004,0,646,0,468,1114,1114,0,0,1114,576,0,102,0,0,0,0,0,159000.0,4,1,1,3,3,0,4,0,20,5,2,0,2,1,0,12,14,2,3,4,2,4,4,3,2,6,1,0,1,4,2,7,3,5,95,3,5,5,2,3,4,1,9,4,0,4,4,1,0,1,1,3,1,4,0,2,5,2
21,101,14215,2005,2006,380,0,0,1158,1158,1158,1218,0,2376,853,240,154,0,0,0,0,0,325300.0,4,1,1,0,3,0,0,0,16,2,2,0,5,1,0,12,14,1,2,4,2,0,4,0,6,6,1,0,1,4,2,7,2,3,96,2,5,5,2,3,4,1,6,5,5,7,4,0,0,3,1,4,1,7,1,3,10,0
22,57,7449,1930,1950,0,0,0,637,637,1108,0,0,1108,280,0,0,205,0,0,0,0,139400.0,5,1,0,3,0,0,4,0,9,2,2,0,1,1,0,13,15,2,3,4,2,4,4,3,6,6,1,0,1,1,2,7,2,1,22,3,5,5,0,3,0,1,9,4,3,6,6,0,0,1,0,3,1,4,1,1,5,1
23,75,9742,2002,2002,281,0,0,1777,1777,1795,0,0,1795,534,171,159,0,0,0,0,0,230000.0,4,1,1,3,3,0,4,0,5,2,2,0,2,3,0,12,14,1,2,4,2,2,4,3,6,6,1,0,1,4,2,7,2,1,93,2,5,5,2,3,4,1,9,4,0,7,4,0,0,2,0,3,1,5,1,2,8,2
24,44,4224,1976,1976,0,840,0,200,1040,1060,0,0,1060,572,100,110,0,0,0,0,0,129900.0,5,1,1,3,3,0,4,0,10,2,2,4,2,1,0,5,5,2,3,4,2,2,4,3,2,6,1,4,1,4,4,7,5,1,67,3,5,5,2,3,4,1,9,4,11,4,6,1,0,1,0,3,1,4,1,2,5,1
25,61,8246,1968,2001,0,188,668,204,1060,1060,0,0,1060,270,406,90,0,0,0,0,0,154000.0,4,1,1,0,3,0,4,0,19,2,2,0,2,1,0,10,11,2,3,2,1,4,4,2,5,0,1,0,1,4,2,7,5,1,59,3,5,5,2,3,2,1,9,4,0,4,7,1,0,1,0,3,1,4,1,1,4,4
26,110,14230,2007,2007,640,0,0,1566,1566,1600,0,0,1600,890,0,56,0,0,0,0,0,256300.0,4,1,1,3,3,0,0,0,16,2,2,0,2,1,0,12,14,3,2,4,2,2,4,3,6,6,1,0,1,4,2,7,2,1,98,2,5,5,2,3,4,1,9,4,0,7,4,0,0,2,0,3,1,5,1,3,6,3
27,60,7200,1951,2000,0,234,486,180,900,900,0,0,900,576,222,32,0,0,0,0,0,134800.0,4,1,1,3,3,0,0,0,12,2,2,0,2,1,0,13,15,2,3,4,1,4,4,2,1,5,1,4,1,4,2,7,3,5,96,3,5,5,2,3,4,1,9,4,0,4,6,0,1,1,0,3,1,3,0,2,4,4
28,98,11478,2007,2008,200,1218,0,486,1704,1704,0,0,1704,772,0,50,0,0,0,0,0,306000.0,4,1,1,3,3,0,4,0,16,2,2,0,2,1,0,12,14,3,2,4,2,0,4,3,2,6,1,0,1,4,2,7,2,1,99,2,5,5,2,3,4,1,9,4,0,7,4,1,0,2,0,3,1,5,1,3,4,4
29,47,16321,1957,1997,0,1277,0,207,1484,1600,0,0,1600,319,288,258,0,0,0,0,0,207500.0,4,1,1,0,3,0,1,0,12,2,2,0,2,1,0,8,8,2,3,4,1,4,4,1,1,6,1,4,1,4,4,7,2,1,48,2,5,5,2,3,4,1,9,4,0,4,5,1,0,1,0,2,1,4,2,1,11,0
30,60,6324,1927,1950,0,0,0,520,520,520,0,0,520,240,49,0,87,0,0,0,0,68500.0,5,1,1,0,3,0,4,0,3,1,7,0,2,1,0,8,8,2,3,4,0,4,4,3,6,6,1,1,0,4,1,7,3,5,12,3,1,5,2,3,4,1,9,4,1,3,5,0,0,1,0,1,1,2,0,1,4,2
31,50,8500,1920,1950,0,0,0,649,649,649,668,0,1317,250,0,54,172,0,0,0,0,40000.0,0,1,2,3,3,0,4,0,9,1,2,0,5,2,0,3,3,2,3,1,0,4,4,3,6,6,1,4,0,4,4,7,3,5,12,3,5,1,0,3,2,1,9,4,6,3,3,0,0,1,0,3,1,4,0,1,6,2
32,66,8544,1966,2006,0,0,0,1228,1228,1228,0,0,1228,271,0,65,0,0,0,0,0,149350.0,4,1,1,0,3,0,1,0,19,2,2,0,2,1,0,6,6,2,3,4,1,4,4,3,6,6,1,2,1,4,2,7,3,1,57,3,5,5,2,3,2,1,9,4,0,4,5,0,0,1,1,3,1,4,0,1,5,2
33,85,11049,2007,2007,0,0,0,1234,1234,1234,0,0,1234,484,0,30,0,0,0,0,0,179900.0,4,1,1,3,3,0,0,0,5,2,2,0,2,1,0,12,14,2,2,4,2,0,4,0,6,6,1,0,1,4,2,7,3,1,98,2,5,5,2,3,4,1,9,4,0,7,4,0,0,2,0,3,1,5,0,2,0,2
34,70,10552,1959,1959,0,1018,0,380,1398,1700,0,0,1700,447,0,38,0,0,0,0,0,165500.0,4,1,1,0,3,0,4,0,12,2,2,0,2,3,0,3,3,2,3,4,1,4,4,3,5,6,1,2,1,4,2,7,2,1,50,2,5,5,2,3,4,1,9,4,0,4,4,0,1,1,1,4,1,4,1,2,3,4
35,60,7313,2005,2005,246,1153,0,408,1561,1561,0,0,1561,556,203,47,0,0,0,0,0,277500.0,4,1,1,3,3,0,4,0,16,2,2,4,2,3,0,8,8,1,0,4,2,0,4,3,2,6,1,0,1,4,0,7,2,1,96,0,5,5,2,3,4,1,9,4,11,8,4,1,0,2,0,2,1,4,1,2,7,1
36,108,13418,2004,2005,132,0,0,1117,1117,1132,1320,0,2452,691,113,32,0,0,0,0,0,309000.0,4,1,1,3,3,0,4,0,16,2,2,0,5,1,0,12,14,3,2,4,2,0,4,0,6,6,1,0,1,4,2,7,2,3,95,0,5,5,2,3,4,1,9,4,5,7,4,0,0,3,1,4,1,7,1,3,8,0
37,112,10859,1994,1995,0,0,0,1097,1097,1097,0,0,1097,672,392,64,0,0,0,0,0,145000.0,4,1,1,3,3,0,0,0,5,2,2,0,2,1,0,12,14,2,3,4,2,2,4,3,6,6,1,0,1,4,4,7,3,1,86,3,5,5,2,3,4,1,9,4,0,4,4,0,0,1,1,3,1,4,0,2,5,3
38,74,8532,1954,1990,650,1213,0,84,1297,1297,0,0,1297,498,0,0,0,0,0,0,0,153000.0,4,1,1,3,3,0,4,0,12,2,2,0,2,3,0,13,15,1,3,4,1,4,4,3,5,6,1,2,1,4,4,7,5,1,45,0,5,5,2,3,4,1,9,4,0,4,5,0,1,1,0,3,1,3,1,2,9,3
40,65,6040,1955,1955,0,0,0,0,0,1152,0,0,1152,0,0,0,0,0,0,0,0,82000.0,4,1,1,3,3,0,4,0,7,2,2,2,2,1,0,0,11,2,3,4,2,3,2,4,4,4,1,4,0,2,1,7,3,6,103,1,3,3,0,3,4,1,9,1,10,3,4,0,0,2,0,2,2,4,0,0,5,2
42,115,16905,1959,1959,0,967,0,383,1350,1328,0,0,1328,308,0,104,0,0,0,0,0,170000.0,4,1,1,3,3,0,4,0,23,2,2,0,2,1,0,12,14,2,3,2,1,4,4,1,1,6,1,2,1,4,4,7,2,1,50,2,5,5,1,3,4,1,9,4,0,4,5,0,1,1,1,2,1,3,2,1,6,1
43,70,9180,1983,1983,0,747,93,0,840,884,0,0,884,504,240,0,0,0,0,0,0,144000.0,4,1,1,0,3,0,1,0,20,2,2,0,6,1,0,6,6,2,3,4,1,2,4,0,0,3,1,2,1,4,2,7,3,1,74,2,5,2,2,3,2,1,9,4,9,4,6,1,0,1,0,2,1,3,0,2,11,1
44,79,9200,1975,1980,0,280,491,167,938,938,0,0,938,308,145,0,0,0,0,0,0,130250.0,4,1,1,0,3,0,1,0,5,2,2,0,2,3,0,12,14,2,3,4,1,2,4,0,3,1,1,4,1,4,4,7,3,5,68,3,5,5,2,3,2,1,9,4,0,4,5,1,0,1,0,3,1,3,0,1,6,2
45,70,7945,1959,1959,0,179,506,465,1150,1150,0,0,1150,300,0,0,0,0,0,0,0,141000.0,4,1,1,3,3,0,4,0,12,2,2,0,2,1,0,3,15,2,3,4,1,4,4,3,0,1,1,0,1,0,4,7,3,1,50,2,5,5,2,3,4,1,9,4,0,4,5,1,0,1,0,3,1,4,0,1,4,0
46,61,7658,2005,2005,412,456,0,1296,1752,1752,0,0,1752,576,196,82,0,0,0,0,0,319900.0,4,1,1,3,3,0,4,0,16,2,2,4,2,3,0,8,8,1,0,4,2,0,4,3,2,6,1,0,1,4,0,7,2,1,96,2,5,5,2,3,4,1,9,4,11,8,4,1,0,2,0,2,1,4,1,2,1,4
48,84,11096,2006,2006,0,24,0,1632,1656,1656,0,0,1656,826,0,146,0,0,0,0,0,249700.0,1,1,1,3,3,0,4,0,21,2,2,0,2,1,0,12,14,2,2,4,2,2,4,0,2,6,1,0,1,4,2,7,3,1,97,2,5,5,2,3,4,1,9,4,0,7,4,0,0,2,0,3,1,5,0,3,6,1
49,33,4456,1920,2008,0,0,0,736,736,736,716,0,1452,0,0,0,102,0,0,0,0,113000.0,5,1,1,3,3,0,4,0,17,2,2,1,5,1,0,8,8,2,3,4,0,4,4,3,6,6,1,2,1,4,4,7,3,6,103,1,3,3,0,3,4,1,6,5,15,3,4,0,0,2,0,2,3,6,0,0,5,3
50,66,7742,1966,1966,0,763,0,192,955,955,0,0,955,386,0,0,0,0,0,0,0,127000.0,4,1,1,3,3,0,4,0,19,2,2,0,2,1,0,6,6,2,3,4,1,4,4,3,1,6,1,0,1,4,4,7,3,1,57,3,5,5,2,3,2,1,9,4,0,4,6,1,0,1,0,3,1,4,0,1,0,1
51,86,13869,1997,1997,0,182,0,612,794,794,676,0,1470,388,0,75,0,0,0,0,0,177000.0,4,1,1,1,3,0,0,0,8,2,2,0,5,1,0,12,14,2,3,4,2,2,4,0,2,6,1,2,1,4,4,7,3,1,88,0,5,5,2,3,4,1,9,4,5,5,5,0,1,2,0,3,1,4,0,2,6,1
52,52,6240,1934,1950,0,0,0,816,816,816,0,360,1176,528,112,0,0,0,0,0,400,114500.0,5,1,1,3,3,0,4,0,3,2,2,0,0,1,0,13,15,2,3,4,2,4,4,3,6,6,1,4,1,4,4,7,2,5,76,3,5,5,2,3,2,3,9,4,4,5,5,0,0,1,0,3,1,4,1,2,8,0
53,110,8472,1963,1963,0,104,712,0,816,816,0,0,816,516,106,0,0,0,0,0,0,110000.0,5,0,1,1,0,0,0,1,9,8,2,2,2,1,0,13,15,2,1,4,1,2,4,1,3,2,1,4,0,4,4,7,3,4,54,3,5,5,2,3,4,1,9,4,10,4,4,1,0,1,0,2,1,3,0,2,4,4
54,68,50271,1981,1987,0,1810,0,32,1842,1842,0,0,1842,894,857,72,0,0,0,0,0,385000.0,4,1,1,0,2,0,4,0,24,2,2,0,2,1,6,14,16,2,2,4,1,0,4,1,2,6,1,2,1,4,2,7,2,1,72,0,5,5,2,3,4,1,9,4,0,8,4,2,0,0,1,0,1,3,1,3,10,0
55,60,7134,1955,1955,0,384,0,0,384,1360,0,0,1360,572,0,50,0,0,0,0,0,130000.0,4,1,1,3,0,0,4,1,12,2,2,0,7,1,0,8,8,2,3,4,1,4,4,3,0,6,1,4,1,4,4,2,5,5,53,3,5,5,2,3,2,1,9,4,8,4,4,0,0,1,0,3,1,4,1,2,1,1
56,100,10175,1964,1964,272,490,0,935,1425,1425,0,0,1425,576,0,0,0,407,0,0,0,180500.0,4,1,1,0,3,0,4,0,12,2,2,0,2,1,0,6,11,1,3,4,1,4,4,3,1,6,1,2,1,4,4,7,2,1,55,2,5,5,2,3,4,1,9,4,0,5,4,0,0,2,0,3,1,5,1,2,6,2
58,89,11645,2004,2004,0,0,0,860,860,860,860,0,1720,565,0,70,0,0,0,0,0,196500.0,4,1,1,0,3,0,0,0,5,2,2,0,5,1,0,12,14,2,2,4,2,2,4,3,6,6,1,0,1,4,2,7,3,1,95,2,5,5,2,3,4,1,9,4,5,6,4,0,0,2,1,3,1,5,0,2,7,0
59,66,13682,2006,2006,1031,0,0,1410,1410,1426,1519,0,2945,641,192,0,37,0,0,0,0,438780.0,4,1,1,1,1,0,1,0,22,2,2,0,5,3,0,12,14,1,0,4,2,0,4,1,6,6,1,0,1,4,2,7,2,3,97,0,5,5,2,3,4,1,6,5,5,9,4,0,0,3,1,3,1,8,1,3,9,0
60,60,7200,1972,1972,0,632,0,148,780,780,0,0,780,352,196,0,0,0,0,0,0,124900.0,4,1,1,3,0,0,4,0,5,2,2,0,2,1,0,6,6,2,3,4,1,4,4,0,0,6,1,0,1,4,4,7,3,5,64,3,5,5,2,3,2,1,9,4,0,4,6,0,0,1,0,2,1,2,0,1,0,2
61,63,13072,2004,2004,0,941,0,217,1158,1158,0,0,1158,576,0,50,0,0,0,0,0,158000.0,4,1,1,3,3,0,4,0,20,5,2,0,2,1,0,12,14,2,3,4,2,2,4,3,0,6,1,0,1,4,2,7,3,5,97,3,5,5,2,3,4,1,6,5,0,5,4,1,0,1,1,3,1,3,0,2,4,0
62,60,7200,1920,1996,0,0,0,530,530,581,530,0,1111,288,0,0,144,0,0,0,0,101000.0,5,1,1,3,3,0,4,0,9,2,2,0,4,1,0,8,8,2,3,4,0,4,0,3,6,6,1,4,0,4,1,7,3,5,27,3,5,5,0,3,4,1,9,4,7,4,6,0,0,1,0,3,1,4,0,1,2,1
63,44,6442,2006,2006,178,24,0,1346,1370,1370,0,0,1370,484,120,49,0,0,0,0,0,202500.0,4,1,1,0,3,0,4,0,16,2,2,4,2,1,0,12,14,3,2,4,2,2,1,2,2,6,1,0,1,4,2,7,2,1,97,2,5,5,2,3,4,1,9,4,11,7,4,0,0,2,0,2,1,4,1,2,9,1
64,50,10300,1921,1950,0,0,0,576,576,902,808,0,1710,480,12,11,64,0,0,0,0,140000.0,5,1,1,0,0,0,4,0,17,6,1,0,5,1,0,11,13,2,3,4,0,4,4,3,6,6,1,2,1,4,4,7,3,5,81,3,5,5,2,3,0,1,9,4,6,6,5,0,0,2,0,3,1,7,0,2,3,4
65,73,9375,1997,1998,573,739,0,318,1057,1057,977,0,2034,645,576,36,0,0,0,0,0,219500.0,4,1,1,3,3,0,4,0,5,2,2,0,5,1,0,12,14,1,3,4,2,2,4,3,2,6,1,0,1,4,2,7,3,1,89,2,5,5,2,3,0,1,9,4,5,6,4,1,0,2,1,3,1,6,0,2,1,3
66,76,9591,2004,2005,344,0,0,1143,1143,1143,1330,0,2473,852,192,151,0,0,0,0,0,317000.0,4,1,1,3,3,0,4,0,16,2,2,0,5,1,0,12,14,1,2,4,2,0,4,0,6,6,1,0,1,4,2,7,2,3,95,2,5,5,2,3,4,1,9,4,5,7,4,0,0,2,1,4,1,7,1,3,9,1
67,111,19900,1970,1989,287,912,0,1035,1947,2207,0,0,2207,576,301,0,0,0,0,0,0,180000.0,4,1,1,3,3,0,4,0,12,3,2,0,2,1,0,10,11,1,3,4,1,2,4,1,2,6,1,4,1,4,4,2,2,1,61,2,5,5,2,3,4,1,9,4,0,6,4,1,0,2,0,3,1,5,1,2,6,4
68,72,10665,2003,2003,167,1013,0,440,1453,1479,0,0,1479,558,144,29,0,0,0,0,0,226000.0,4,1,1,0,3,0,4,0,5,2,2,0,2,1,0,12,14,1,2,4,2,2,4,0,2,6,1,0,1,4,2,7,3,1,94,2,5,5,2,3,4,1,9,4,0,6,4,1,0,2,0,3,1,5,0,2,5,1
69,47,4608,1945,1950,0,0,0,747,747,747,0,0,747,220,0,0,0,0,0,0,0,80000.0,5,1,1,3,3,0,0,0,17,0,2,0,2,1,0,8,8,2,3,2,1,4,4,3,6,6,1,4,1,4,4,7,3,1,36,3,5,5,2,3,4,1,9,4,1,3,5,0,0,1,0,2,1,2,0,1,5,4
70,81,15593,1953,1953,0,603,0,701,1304,1304,983,0,2287,667,0,21,114,0,0,0,0,225000.0,4,1,1,3,3,0,0,0,4,2,2,0,0,1,0,3,0,2,2,4,1,4,4,3,1,6,2,4,1,4,4,7,5,1,44,0,5,5,2,3,4,1,9,4,4,6,3,0,0,2,0,3,1,5,1,2,6,0
71,95,13651,1973,1973,1115,1880,0,343,2223,2223,0,0,2223,516,300,0,0,0,0,0,0,244000.0,4,1,1,0,3,0,4,0,12,2,2,0,2,1,0,10,11,1,3,2,1,2,4,1,0,6,1,0,1,4,4,7,2,1,64,0,5,5,2,3,4,1,9,4,0,6,5,1,0,2,0,3,1,6,2,2,1,1
72,69,7599,1982,2006,0,565,0,280,845,845,0,0,845,360,0,0,0,0,0,0,0,129500.0,4,1,1,3,3,0,0,0,11,2,2,0,2,1,0,6,11,2,3,4,1,4,4,3,0,6,1,4,1,4,4,7,3,5,78,3,5,5,2,3,4,1,9,4,0,3,5,1,0,1,0,2,1,2,0,2,5,1
73,74,10141,1998,1998,40,0,0,832,832,885,833,0,1718,427,0,94,0,0,291,0,0,185000.0,4,1,1,0,3,0,0,0,8,2,2,0,5,1,0,12,14,1,3,4,2,2,4,3,6,6,1,2,1,4,4,7,5,1,89,0,5,5,2,3,4,1,9,4,5,6,4,0,0,2,1,3,1,5,1,2,11,3
74,85,10200,1954,2003,104,320,362,404,1086,1086,0,0,1086,490,0,0,0,0,0,0,0,144900.0,4,1,1,3,3,0,4,0,12,2,2,0,2,1,0,13,15,1,3,4,1,4,4,3,0,1,1,2,1,4,4,7,3,1,80,3,5,5,2,3,1,1,9,4,0,4,6,1,0,1,0,3,1,4,0,2,4,4
75,60,5790,1915,1950,0,0,0,840,840,840,765,0,1605,379,0,0,202,0,0,0,0,107400.0,5,1,1,3,3,0,0,0,17,2,2,0,5,2,0,12,14,2,2,2,1,1,4,3,6,6,1,2,0,4,4,7,3,5,7,3,5,5,2,3,4,1,9,4,4,2,5,0,0,2,0,3,2,6,0,1,4,4
76,21,1596,1973,1973,0,462,0,0,462,526,462,0,988,297,120,101,0,0,0,0,0,91000.0,5,1,1,3,3,0,4,0,10,2,2,3,7,1,0,5,5,2,3,4,1,2,4,1,2,6,1,4,1,4,4,7,3,3,64,3,5,5,2,3,1,1,9,4,14,3,4,1,0,1,0,2,1,3,0,1,10,3
77,91,8475,1956,1956,0,228,0,724,952,952,0,0,952,283,0,0,0,0,0,0,0,135750.0,4,1,1,0,3,0,4,0,12,2,2,0,2,1,0,12,14,2,3,4,1,4,4,3,0,6,1,0,1,0,4,7,3,5,47,3,5,5,2,3,4,1,9,4,0,3,6,0,0,1,0,2,1,2,0,1,3,2
78,50,8635,1948,2001,0,336,41,295,672,1072,213,0,1285,240,0,0,0,0,0,0,0,127000.0,5,1,1,3,3,0,4,0,3,2,2,0,0,1,0,13,15,2,3,4,1,4,4,3,1,2,1,4,1,4,4,2,3,5,39,3,5,5,2,3,2,1,9,4,4,4,4,1,0,1,0,2,1,4,0,1,0,2
79,72,10778,1968,1968,0,0,0,1768,1768,1768,0,0,1768,0,0,0,0,0,0,0,0,136500.0,4,1,1,3,3,0,4,0,19,2,2,2,2,3,0,6,6,2,3,4,1,4,4,3,6,6,1,4,0,4,4,7,3,6,103,1,3,3,2,3,4,1,9,4,10,3,4,0,0,2,0,4,2,6,0,0,3,4
80,60,10440,1910,1981,0,0,0,440,440,682,548,0,1230,440,74,0,128,0,0,0,0,110000.0,5,1,0,3,3,0,0,0,17,2,2,0,5,1,0,13,15,2,3,4,2,4,4,3,6,6,1,2,1,4,4,7,3,5,57,3,5,5,2,3,2,1,9,4,4,4,5,0,0,1,1,2,1,3,0,2,4,3
